bias,covar_xx,covar_xth,covar_thth,Distance to Goal,Num Collisions,Num Steps,Soft SPL,SCT,SPL,Success,Kalman Distance (Pos.),Kalman Distance (Ang.),factor,distance
0.6260516572014819,0.0062605165720148,0.0062605165720148,0.0626051657201482,6.2511305809021,253.6840057373047,495.3999938964844,0.1053558140993118,0.0,0.0,0.0,42.36812210083008,0.97230726480484,0.6260516572014819,1.7341620922088623
0.5355666917706898,0.0053556669177068,0.0053556669177068,0.0535566691770689,6.451931953430176,254.43600463867188,492.0280151367188,0.1116816326975822,0.0,0.0,0.0,36.83445358276367,0.8953458666801453,0.5355666917706898,1.4808297157287598
0.4581597669054491,0.0045815976690544,0.0045815976690544,0.0458159766905449,6.325263977050781,271.1319885253906,486.2319946289063,0.1174129992723465,0.0,0.0,0.0,31.69548225402832,0.8293630480766296,0.4581597669054491,1.263734221458435
0.3919406774847219,0.0039194067748472,0.0039194067748472,0.0391940677484721,6.411378383636475,270.4119873046875,485.052001953125,0.1159385964274406,0.0,0.0,0.0,27.517019271850582,0.7585122585296631,0.3919406774847219,1.0777392387390137
0.3352924149249557,0.0033529241492495,0.0033529241492495,0.0335292414924955,6.538147926330566,265.7879943847656,477.5719909667969,0.1235211044549942,0.0,0.0,0.0,23.440629959106445,0.6965216994285583,0.3352924149249557,0.9184239506721497
0.2868316813342011,0.002868316813342,0.002868316813342,0.0286831681334201,6.033145427703857,249.9279937744141,441.1919860839844,0.1661265194416046,0.0,0.0,0.0,18.693408966064453,0.5918463468551636,0.2868316813342011,0.7819865942001343
0.2453751106639817,0.0024537511066398,0.0024537511066398,0.0245375110663981,6.089914321899414,239.4199981689453,429.0759887695313,0.1839839369058609,0.0,0.0,0.0,15.682000160217283,0.5471553206443787,0.2453751106639817,0.6651605367660522
0.2099103720108554,0.0020991037201085,0.0020991037201085,0.0209910372010855,5.753893852233887,205.68800354003903,395.4280090332031,0.1978060603141784,0.0,0.0,0.0,12.435853004455566,0.4646312892436981,0.2099103720108554,0.5651403665542603
0.179571449437164,0.0017957144943716,0.0017957144943716,0.0179571449437164,5.484681606292725,185.5279998779297,353.0039978027344,0.2407131791114807,0.0,0.0,0.0,9.485633850097656,0.3926952481269836,0.179571449437164,0.4795185625553131
0.1536174946671828,0.0015361749466718,0.0015361749466718,0.0153617494667182,5.211156845092773,159.73599243164062,332.5119934082031,0.2746458053588867,0.0,0.0,0.0,7.614832878112793,0.3514015972614288,0.1536174946671828,0.4062296748161316
0.1314147362611756,0.0013141473626117,0.0013141473626117,0.0131414736261175,4.555224418640137,120.8239974975586,260.4960021972656,0.366427481174469,0.00022356233967,0.0009484428446739,0.0040000001899898,5.111391067504883,0.2635229825973511,0.1314147362611756,0.3435027003288269
0.1124210035062086,0.001124210035062,0.001124210035062,0.0112421003506208,3.9683706760406494,85.7760009765625,232.843994140625,0.4141075015068054,0.0,0.0,0.0,3.872468948364258,0.2216409295797348,0.1124210035062086,0.2898193895816803
0.0961724871115296,0.0009617248711152,0.0009617248711152,0.0096172487111529,3.513570785522461,69.95600128173828,209.5240020751953,0.475067138671875,0.0045385942794382,0.0074010458774864,0.0080000003799796,2.952613115310669,0.184975728392601,0.0961724871115296,0.2438788115978241
0.0822724134170047,0.00082272413417,0.00082272413417,0.0082272413417004,2.885328531265259,51.27999877929688,179.91200256347656,0.5448337197303772,0.0074152941815555,0.01357845030725,0.0160000007599592,2.136172294616699,0.1576910763978958,0.0822724134170047,0.2045663297176361
0.0703813555493155,0.0007038135554931,0.0007038135554931,0.0070381355549315,2.6881275177001958,33.90399932861328,155.11199951171875,0.5831482410430908,0.0124893113970756,0.020765172317624,0.0240000002086162,1.5474231243133545,0.1201946884393692,0.0703813555493155,0.1709272712469101
0.0602089449333612,0.0006020894493336,0.0006020894493336,0.0060208944933361,1.953505277633667,23.552000045776367,129.60000610351562,0.6425758600234985,0.039368413388729,0.0600270852446556,0.0680000036954879,1.08113694190979,0.0967814326286315,0.0602089449333612,0.14214399456977844
0.0515067807616812,0.0005150678076168,0.0005150678076168,0.0051506780761681,1.5060551166534424,18.20400047302246,109.29199981689452,0.7017419934272766,0.0700573399662971,0.1013287231326103,0.1159999966621398,0.7584194540977478,0.0738232433795929,0.0515067807616812,0.1175164133310318
0.0440623642777357,0.0004406236427773,0.0004406236427773,0.0044062364277735,1.033599853515625,10.895999908447266,81.89199829101562,0.7539194226264954,0.1364044249057769,0.196377158164978,0.2199999988079071,0.4673419594764709,0.0581477023661136,0.0440623642777357,0.09644517302513123
0.0376939097538836,0.0003769390975388,0.0003769390975388,0.0037693909753883,0.7897490859031677,6.460000038146973,68.60399627685547,0.7850542664527893,0.1978359669446945,0.2853772640228271,0.3240000009536743,0.320267915725708,0.0491654053330421,0.0376939097538836,0.07841717451810837
0.0322459054529639,0.0003224590545296,0.0003224590545296,0.0032245905452963,0.5368138551712036,6.223999977111816,61.88800048828125,0.802245020866394,0.2475678771734237,0.3540131449699402,0.4000000059604645,0.2321752160787582,0.0385491363704204,0.0322459054529639,0.06299325823783875
0.0275853161762918,0.0002758531617629,0.0002758531617629,0.0027585316176291,0.3652437627315521,5.171999931335449,55.11600112915039,0.8261586427688599,0.3284101486206054,0.4707553684711456,0.5360000133514404,0.1639580726623535,0.0312377586960792,0.0275853161762918,0.049797531217336655
0.0235983346678219,0.0002359833466782,0.0002359833466782,0.0023598334667821,0.2589004337787628,4.331999778747559,51.71599960327149,0.8303481340408325,0.4092316329479217,0.5842967629432678,0.6639999747276306,0.1193288266658783,0.0251733046025037,0.0235983346678219,0.03850829601287842
0.0201876025467903,0.0002018760254679,0.0002018760254679,0.002018760254679,0.2490942776203155,5.619999885559082,56.071998596191406,0.8299614191055298,0.4714095592498779,0.6723739504814148,0.7680000066757202,0.0965135172009468,0.0198656413704156,0.0201876025467903,0.028850218281149864
0.0172698329065943,0.0001726983290659,0.0001726983290659,0.0017269832906594,0.2007455080747604,4.40399980545044,50.86000061035156,0.839690625667572,0.5255592465400696,0.763770580291748,0.871999979019165,0.0628167167305946,0.0142437722533941,0.0172698329065943,0.02058771811425686
0.0147737765259851,0.0001477377652598,0.0001477377652598,0.0014773776525985,0.2257253378629684,5.196000099182129,54.45600128173828,0.8324936032295227,0.5612338185310364,0.8108309507369995,0.9359999895095824,0.043983057141304,0.0099488943815231,0.0147737765259851,0.013519193977117538
0.0126384820293429,0.0001263848202934,0.0001263848202934,0.0012638482029342,0.188815101981163,5.0,53.07600021362305,0.841720461845398,0.5675184726715088,0.8304323554039001,0.959999978542328,0.0237175375223159,0.0057920897379517,0.0126384820293429,0.007472169119864702
0.010811807510766,0.0001081180751076,0.0001081180751076,0.0010811807510766,0.1983105987310409,4.688000202178955,52.67599868774414,0.8368920087814331,0.5733165740966797,0.8323904871940613,0.9679999947547911,0.0072415838949382,0.0019374552648514,0.010811807510766,0.0022990608122199774
0.0092491472772173,9.249147277217334e-05,9.249147277217334e-05,0.0009249147277217,0.2410596460103988,4.616000175476074,53.124000549316406,0.8377072811126709,0.580377995967865,0.8417485356330872,0.9800000190734864,0.0067491931840777,0.0017961971461772,0.0092491472772173,0.0021264590322971344
0.0079123426189813,7.912342618981319e-05,7.912342618981319e-05,0.0007912342618981,0.130165085196495,4.159999847412109,51.5,0.8355200886726379,0.5723459720611572,0.8323262929916382,0.9760000109672546,0.0181902106851339,0.0052244192920625,0.0079123426189813,0.005912468768656254
0.0067687500094585,6.768750009458535e-05,6.768750009458535e-05,0.0006768750009458,0.2053863257169723,4.763999938964844,53.99599838256836,0.8326025605201721,0.5683254599571228,0.8265649080276489,0.9679999947547911,0.0294632222503423,0.0082522872835397,0.0067687500094585,0.009151424281299114
0.0057904439806024,5.790443980602489e-05,5.790443980602489e-05,0.0005790443980602,0.1419984251260757,4.547999858856201,53.24800109863281,0.8338269591331482,0.5538475513458252,0.8019558787345886,0.9399999976158142,0.0377816222608089,0.0115998778492212,0.0057904439806024,0.011922401376068592
0.0049535352089591,4.953535208959169e-05,4.953535208959169e-05,0.0004953535208959,0.2365570366382599,5.415999889373779,55.40800094604492,0.829572856426239,0.5438683032989502,0.7889952659606934,0.9120000004768372,0.0472590737044811,0.0135301994159817,0.0049535352089591,0.014293075539171696
0.004237587160604,4.237587160604063e-05,4.237587160604063e-05,0.0004237587160604,0.2667788565158844,5.144000053405762,55.2760009765625,0.8294077515602112,0.5395703911781311,0.7732435464859009,0.8920000195503235,0.0538301467895507,0.0162919890135526,0.004237587160604,0.016321316361427307
0.0036251170499885,3.625117049988531e-05,3.625117049988531e-05,0.0003625117049988,0.2239665538072586,5.007999897003174,54.900001525878906,0.832278847694397,0.5390824675559998,0.7652863264083862,0.8799999952316284,0.0595954991877079,0.0189347751438617,0.0036251170499885,0.018056610599160194
0.0031011689265747,3.101168926574778e-05,3.101168926574778e-05,0.0003101168926574,0.2119541466236114,4.751999855041504,53.96799850463867,0.8296078443527222,0.5216172337532043,0.7436628341674805,0.8519999980926514,0.0631191655993461,0.0201303958892822,0.0031011689265747,0.019541321322321892
0.0026529484644318,2.652948464431897e-05,2.652948464431897e-05,0.0002652948464431,0.2502383887767792,4.480000019073486,52.6879997253418,0.8304644823074341,0.5391317009925842,0.7646212577819824,0.8840000033378601,0.0657496228814125,0.0231106281280517,0.0026529484644318,0.02081167884171009
0.0022695105366946,2.269510536694668e-05,2.269510536694668e-05,0.0002269510536694,0.2543821632862091,4.484000205993652,53.66400146484375,0.8311623930931091,0.5250954627990723,0.7450568079948425,0.8519999980926514,0.0701824203133583,0.0242353565990924,0.0022695105366946,0.021898634731769562
0.0019414919457438,1.9414919457438816e-05,1.9414919457438816e-05,0.0001941491945743,0.2410638481378555,4.955999851226807,54.540000915527344,0.8320660591125488,0.5213858485221863,0.7432093620300293,0.8479999899864197,0.0746332556009292,0.0262377317994833,0.0019414919457438,0.022828729823231697
0.0016608827826277,1.6608827826277147e-05,1.6608827826277147e-05,0.0001660882782627,0.3287164866924286,5.5960001945495605,56.25199890136719,0.8307337760925293,0.4980242848396301,0.7085127234458923,0.8080000281333923,0.079271450638771,0.0278419535607099,0.0016608827826277,0.0236247256398201
0.0014208308325339,1.4208308325339224e-05,1.4208308325339224e-05,0.0001420830832533,0.2611314356327057,5.072000026702881,54.04399871826172,0.8297322988510132,0.496908962726593,0.707008421421051,0.8040000200271606,0.0783848091959953,0.0293197222054004,0.0014208308325339,0.024305973201990128
0.0012154742500762,1.2154742500762872e-05,1.2154742500762872e-05,0.0001215474250076,0.2972341179847717,4.723999977111816,53.88399887084961,0.8284579515457153,0.4927803874015808,0.7024886608123779,0.8080000281333923,0.0801541805267334,0.0303981825709342,0.0012154742500762,0.024889025837183
0.0010397984184814,1.03979841848149e-05,1.03979841848149e-05,0.0001039798418481,0.2925894856452942,5.415999889373779,57.59600067138672,0.8217257261276245,0.4993560910224914,0.7104920744895935,0.8119999766349792,0.0868808552622795,0.0316163152456283,0.0010397984184814,0.025388114154338837
0.0008895134973108,8.895134973108235e-06,8.895134973108235e-06,8.895134973108236e-05,0.2263901084661483,4.619999885559082,53.43600082397461,0.830015242099762,0.4924083650112152,0.6963638067245483,0.800000011920929,0.0818905979394912,0.0327867977321147,0.0008895134973108,0.025815341621637344
0.0007609496685459,7.609496685459875e-06,7.609496685459875e-06,7.609496685459875e-05,0.3634048998355865,5.943999767303467,57.29199981689453,0.821914553642273,0.500768780708313,0.7030863165855408,0.7960000038146973,0.0893533453345298,0.0338543467223644,0.0007609496685459,0.026181062683463097
0.0006509675230458,6.509675230458171e-06,6.509675230458171e-06,6.509675230458171e-05,0.2724675834178924,4.47599983215332,54.26399993896485,0.8285263776779175,0.4990096390247345,0.707406759262085,0.8080000281333923,0.085697166621685,0.0350847356021404,0.0006509675230458,0.026494216173887253
0.0005568813990945,5.568813990945267e-06,5.568813990945267e-06,5.568813990945267e-05,0.2690157890319824,5.248000144958496,56.99599838256836,0.8228525519371033,0.497150719165802,0.7032866477966309,0.7960000038146973,0.0911176949739456,0.035729244351387,0.0005568813990945,0.02676237002015114
0.0004763938010401,4.763938010401341e-06,4.763938010401341e-06,4.763938010401341e-05,0.2784215807914734,4.947999954223633,54.04800033569336,0.8299815058708191,0.4955629408359527,0.7037255167961121,0.800000011920929,0.0868885368108749,0.0347191244363784,0.0004763938010401,0.026992011815309525
0.0004075392965871,4.075392965871778e-06,4.075392965871778e-06,4.075392965871778e-05,0.3459759652614593,5.28000020980835,55.26800155639648,0.8248690366744995,0.481650561094284,0.6844475865364075,0.7799999713897705,0.0898663774132728,0.0358200185000896,0.0004075392965871,0.027188751846551895
0.0003486365227678,3.486365227678084e-06,3.486365227678084e-06,3.486365227678084e-05,0.3627956211566925,5.9079999923706055,56.87200164794922,0.8269823789596558,0.4686059355735779,0.6678076386451721,0.7559999823570251,0.0933056324720382,0.0377558916807174,0.0003486365227678,0.027357326820492744
0.0002982471286216,2.9824712862168917e-06,2.9824712862168917e-06,2.982471286216891e-05,0.2480126619338989,5.552000045776367,55.28799819946289,0.828647792339325,0.4840350747108459,0.6882739663124084,0.7799999713897705,0.0901900380849838,0.0384721718728542,0.0002982471286216,0.027501767501235008
0.0002551406520031,2.5514065200312875e-06,2.5514065200312875e-06,2.5514065200312875e-05,0.2734506726264953,5.107999801635742,55.86800003051758,0.8279544115066528,0.4811737239360809,0.6792557835578918,0.7760000228881836,0.0916885584592819,0.0376067571341991,0.0002551406520031,0.027625519782304764
0.0002182644728397,2.1826447283974877e-06,2.1826447283974877e-06,2.182644728397487e-05,0.2497552633285522,4.78000020980835,52.63600158691406,0.8298447728157043,0.4814457893371582,0.6863591074943542,0.7799999713897705,0.0868006348609924,0.038986898958683,0.0002182644728397,0.02773156389594078
0.0001867181091291,1.8671810912919208e-06,1.8671810912919208e-06,1.867181091291921e-05,0.2139407843351364,4.395999908447266,52.26800155639648,0.829801082611084,0.4758082032203674,0.676493227481842,0.7720000147819519,0.0864909291267395,0.0403885841369628,0.0001867181091291,0.027822524309158325
0.000159731228006,1.597312280060254e-06,1.597312280060254e-06,1.597312280060254e-05,0.319455087184906,4.711999893188477,54.36399841308594,0.827305018901825,0.4838775992393493,0.6839271783828735,0.7720000147819519,0.0907395780086517,0.0398493371903896,0.000159731228006,0.027900557965040207
0.0001366448349295,1.3664483492953258e-06,1.3664483492953258e-06,1.3664483492953258e-05,0.2935525774955749,4.688000202178955,53.21200180053711,0.8316226601600647,0.4939510822296142,0.7004938125610352,0.800000011920929,0.0887278467416763,0.0402227379381656,0.0001366448349295,0.027967510744929314
0.0001168951816498,1.168951816498578e-06,1.168951816498578e-06,1.168951816498578e-05,0.3189499378204345,5.803999900817871,57.4119987487793,0.8242170214653015,0.478925347328186,0.678889811038971,0.7720000147819519,0.0958580151200294,0.0416844189167022,0.0001168951816498,0.028024990111589432
0.0001,1e-06,1e-06,1e-05,0.2818310856819153,5.139999866485596,54.27999877929688,0.8285274505615234,0.470152735710144,0.6647266149520874,0.7559999823570251,0.0909388363361358,0.0406318865716457,0.0001,0.028074342757463455
