bias,covar_xx,covar_xth,covar_thth,Distance to Goal,Num Collisions,Num Steps,Soft SPL,SCT,SPL,Success,distance
0.0999999999999999,0.001,0.001,0.0099999999999999,3.607676267623901,39.73600006103516,197.343994140625,0.442832887172699,0.0041206656023859,0.0070743523538112,0.0080000003799796,0.2547019422054291
0.0889513497310823,0.0008895134973108,0.0008895134973108,0.0088951349731082,2.825397253036499,31.40800094604492,172.5800018310547,0.5045369267463684,0.006178465206176,0.0105558969080448,0.0120000001043081,0.2234571874141693
0.0791234261898132,0.0007912342618981,0.0007912342618981,0.0079123426189813,2.767085552215576,24.79199981689453,164.56399536132812,0.5297620892524719,0.0089129917323589,0.0140764787793159,0.0160000007599592,0.19565880298614502
0.0703813555493155,0.0007038135554931,0.0007038135554931,0.0070381355549315,2.2387073040008545,19.95199966430664,138.54400634765625,0.5770783424377441,0.023785950616002,0.0349637493491172,0.0399999991059303,0.1709272712469101
0.0626051657201482,0.0006260516572014,0.0006260516572014,0.0062605165720148,2.210279703140259,18.27199935913086,127.99600219726562,0.6047219038009644,0.0447218604385852,0.0639633163809776,0.0719999969005584,0.14892470836639404
0.0556881399094527,0.0005568813990945,0.0005568813990945,0.0055688139909452,1.7130779027938845,16.420000076293945,111.44000244140624,0.6585626006126404,0.0554415136575698,0.0824558436870575,0.096000000834465,0.12935037910938263
0.0495353520895917,0.0004953535208959,0.0004953535208959,0.0049535352089591,1.3511418104171753,12.083999633789062,95.50800323486328,0.6933313608169556,0.0808971971273422,0.1126844733953476,0.1280000060796737,0.11193661391735077
0.0440623642777357,0.0004406236427773,0.0004406236427773,0.0044062364277735,1.2178436517715454,10.947999954223633,83.53600311279297,0.7160664200782776,0.1373020410537719,0.1863593906164169,0.2119999974966049,0.09644517302513123
0.0391940677484721,0.0003919406774847,0.0003919406774847,0.0039194067748472,1.0825344324111938,9.619999885559082,76.01599884033203,0.7470330595970154,0.182754561305046,0.2427012324333191,0.2720000147819519,0.08266403526067734
0.0348636522767808,0.0003486365227678,0.0003486365227678,0.003486365227678,0.8625150322914124,9.604000091552734,67.01200103759766,0.7702583074569702,0.2253790646791458,0.2959419190883636,0.335999995470047,0.07040455937385559
0.0310116892657477,0.0003101168926574,0.0003101168926574,0.0031011689265747,0.6436514854431152,8.03600025177002,60.104000091552734,0.787352442741394,0.3161689937114715,0.4048165082931518,0.4600000083446502,0.0594988688826561
0.0275853161762918,0.0002758531617629,0.0002758531617629,0.0027585316176291,0.5308160185813904,6.656000137329102,57.00400161743164,0.7975467443466187,0.3655342161655426,0.4693575501441955,0.5320000052452087,0.049797531217336655
0.0245375110663981,0.0002453751106639,0.0002453751106639,0.0024537511066398,0.2735860347747803,5.788000106811523,47.05199813842773,0.8175490498542786,0.4509276151657104,0.5819420218467712,0.6679999828338623,0.041167665272951126
0.0218264472839748,0.0002182644728397,0.0002182644728397,0.0021826447283974,0.1989195942878723,4.567999839782715,44.7760009765625,0.8234715461730957,0.5102575421333313,0.6539382338523865,0.7480000257492065,0.03349095210433006
0.0194149194574388,0.0001941491945743,0.0001941491945743,0.0019414919457438,0.2060175985097885,4.25600004196167,43.23600006103516,0.8335065245628357,0.5732941031455994,0.735434353351593,0.843999981880188,0.026662174612283707
0.0172698329065943,0.0001726983290659,0.0001726983290659,0.0017269832906594,0.2443290203809738,5.099999904632568,45.15999984741211,0.8277141451835632,0.5978164076805115,0.7657695412635803,0.8840000033378601,0.02058771811425686
0.0153617494667182,0.0001536174946671,0.0001536174946671,0.0015361749466718,0.1753925532102584,4.852000236511231,43.87200164794922,0.8329068422317505,0.6316567063331604,0.8088625073432922,0.9399999976158142,0.01518427673727274
0.0136644834929532,0.0001366448349295,0.0001366448349295,0.0013664483492953,0.2593583464622497,5.308000087738037,46.70800018310547,0.8273213505744934,0.6355234384536743,0.8106943368911743,0.944000005722046,0.010377752594649792
0.0121547425007628,0.0001215474250076,0.0001215474250076,0.0012154742500762,0.1756084859371185,4.659999847412109,43.81999969482422,0.8318119645118713,0.650001585483551,0.8314476609230042,0.9760000109672546,0.006102235987782478
0.010811807510766,0.0001081180751076,0.0001081180751076,0.0010811807510766,0.2444899231195449,5.315999984741211,45.85599899291992,0.8305177092552185,0.6514418721199036,0.8354518413543701,0.984000027179718,0.0022990608122199774
0.0096172487111529,9.617248711152963e-05,9.617248711152963e-05,0.0009617248711152,0.1048145070672035,3.888000011444092,42.8759994506836,0.8316218256950378,0.651377260684967,0.8335347771644592,0.9879999756813048,0.0010839705355465412
0.0085546725355656,8.554672535565684e-05,8.554672535565684e-05,0.0008554672535565,0.1181434914469719,3.9079999923706055,43.27999877929688,0.8368858098983765,0.6555661559104919,0.8379627466201782,0.9800000190734864,0.004093283787369728
0.0076094966854598,7.609496685459876e-05,7.609496685459876e-05,0.0007609496685459,0.2471226155757904,5.107999801635742,46.14400100708008,0.8254397511482239,0.6471796035766602,0.8318384289741516,0.984000027179718,0.006770193111151457
0.0067687500094585,6.768750009458535e-05,6.768750009458535e-05,0.0006768750009458,0.1116397753357887,4.519999980926514,43.99599838256836,0.8322389721870422,0.6496016383171082,0.8347048759460449,0.9879999756813048,0.009151424281299114
0.0060208944933361,6.020894493336126e-05,6.020894493336126e-05,0.0006020894493336,0.0719379931688308,3.9760000705718994,42.007999420166016,0.8382869362831116,0.6489828824996948,0.8334473967552185,0.9800000190734864,0.011269649490714073
0.0053556669177068,5.355666917706896e-05,5.355666917706896e-05,0.0005355666917706,0.1198132708668708,4.631999969482422,43.70399856567383,0.8323461413383484,0.6378003358840942,0.8163713216781616,0.9559999704360962,0.01315394975244999
