test_type,forward_max_vel,turn_max_vel,forward_acc_sat,forward_brk_sat,turn_acc_sat,turn_brk_sat,forward_acc_damp,forward_brk_damp,turn_acc_damp,turn_brk_damp,forward_acc_time,forward_brk_time,turn_acc_time,turn_brk_time,forward_noise_covar,turn_noise_covar,forward_noise_bias,turn_noise_bias,Distance to Goal,Num Collisions,Num Steps,Soft SPL,SCT,SPL,Success,Kalman Distance (Pos.),Kalman Distance (Ang.),factor,distance
max_vel,1.9362915254237287,5.665013559322034,2.058,1.845,5.082,3.37,0.7,0.7,0.7,0.7,0.26,0.24,0.28,0.27,0.0,0.0,-0.0,-0.0,0.8974633812904358,38.74800109863281,212.1439971923828,0.3396305441856384,0.0448506772518157,0.1623061299324035,0.4239999949932098,0.0342652574181556,0.0262981709092855,1.9440677966101692,2.006248477822592
max_vel,1.878894915254237,5.49708813559322,2.058,1.845,5.082,3.37,0.7,0.7,0.7,0.7,0.26,0.24,0.28,0.27,0.0,0.0,-0.0,-0.0,0.8137699961662292,33.78400039672852,182.54800415039065,0.3890950083732605,0.0705271959304809,0.2365343570709228,0.5320000052452087,0.03570456802845,0.02598113194108,1.8864406779661016,1.9442530314937194
max_vel,1.8214983050847455,5.329162711864407,2.058,1.845,5.082,3.37,0.7,0.7,0.7,0.7,0.26,0.24,0.28,0.27,0.0,0.0,-0.0,-0.0,0.7150700688362122,30.832000732421875,164.5,0.4248575270175934,0.0810205340385437,0.2576628923416137,0.5559999942779541,0.0350985527038574,0.0307320207357406,1.8288135593220336,1.8710653483804882
max_vel,1.764101694915254,5.1612372881355935,2.058,1.845,5.082,3.37,0.7,0.7,0.7,0.7,0.26,0.24,0.28,0.27,0.0,0.0,-0.0,-0.0,0.5092077851295471,26.856000900268555,142.89999389648438,0.461848497390747,0.0971611887216568,0.2951600849628448,0.5839999914169312,0.0369950830936431,0.0244599636644125,1.771186440677966,1.787348460728665
max_vel,1.7067050847457628,4.99331186440678,2.058,1.845,5.082,3.37,0.7,0.7,0.7,0.7,0.26,0.24,0.28,0.27,0.0,0.0,-0.0,-0.0,0.474235475063324,23.996000289916992,123.23600006103516,0.507538378238678,0.1033361107110977,0.3141174614429474,0.5920000076293945,0.0376403890550136,0.0170530565083026,1.7135593220338985,1.6927446476316166
max_vel,1.6493084745762712,4.825386440677966,2.058,1.845,5.082,3.37,0.7,0.7,0.7,0.7,0.26,0.24,0.28,0.27,0.0,0.0,-0.0,-0.0,0.54010409116745,19.916000366210938,106.5479965209961,0.5540924072265625,0.1386046856641769,0.3855050802230835,0.6520000100135803,0.0394000001251697,0.0144781004637479,1.6559322033898305,1.5885192472463228
max_vel,1.5919118644067796,4.657461016949153,2.058,1.845,5.082,3.37,0.7,0.7,0.7,0.7,0.26,0.24,0.28,0.27,0.0,0.0,-0.0,-0.0,0.5862706899642944,19.43600082397461,99.23999786376952,0.5756351947784424,0.148220956325531,0.3888323605060577,0.6359999775886536,0.0391218774020671,0.0187185890972614,1.5983050847457627,1.475619061381228
max_vel,1.5345152542372882,4.48953559322034,2.058,1.845,5.082,3.37,0.7,0.7,0.7,0.7,0.26,0.24,0.28,0.27,0.0,0.0,-0.0,-0.0,0.2798810601234436,14.760000228881836,85.31199645996094,0.616719126701355,0.1868585795164108,0.4500426054000854,0.699999988079071,0.0404963679611682,0.0125486571341753,1.540677966101695,1.348888934040641
max_vel,1.4771186440677966,4.321610169491525,2.058,1.845,5.082,3.37,0.7,0.7,0.7,0.7,0.26,0.24,0.28,0.27,0.0,0.0,-0.0,-0.0,0.212159663438797,13.29599952697754,77.73200225830078,0.6527346968650818,0.2132613509893417,0.4887753427028656,0.7360000014305115,0.0400647483766078,0.0079565737396478,1.4830508474576272,1.2107727752799013
max_vel,1.419722033898305,4.153684745762711,2.058,1.845,5.082,3.37,0.7,0.7,0.7,0.7,0.26,0.24,0.28,0.27,0.0,0.0,-0.0,-0.0,0.2516022622585296,10.54800033569336,68.40799713134766,0.6831542253494263,0.2646165788173675,0.544807493686676,0.7760000228881836,0.0408685952425003,0.0124078728258609,1.4254237288135592,1.0685199057795605
